time,xyz,energy,ediff
1618606777.412294,"14

C       1.028920292256846     -0.013769955462222     -0.031739527857046
C       0.662129400009120     -1.282264683586091      0.764880338739314
H       1.398359160478492     -1.360823169878538      1.581110149358457
C      -0.694342496475444     -1.152244035329216      1.470031237497589
O      -1.519846068088387     -2.020288040994635      1.491630271364428
O      -0.917147841977359      0.014146796789450      2.128049516248848
N       0.711395485699585     -2.520975903954025      0.026148740824454
S       2.819901953317439      0.151812374470971     -0.301935501853383
H       0.725909381978576      0.890471488425977      0.498458140081642
H       0.504455357441869      0.001821941395591     -0.992664724837740
H      -0.086115624113954      0.476196838143209      2.309542421438296
H       1.628108206369058     -2.652956109149278     -0.388345679339296
H       0.009387050948477     -2.544766727165874     -0.705642573574390
H       2.887835112959642     -0.560231292615036     -1.436452513810072
",-19641.419692072843,0.19814165639763814
1618606799.937011,"14

C       1.017287809029528      0.009254353969096     -0.042654376221949
C       0.671647298044903     -1.252237011905184      0.764596259825538
H      -0.249318919456826     -1.009355253418205      1.317511672190103
C       0.217711308542066     -2.400619087619853     -0.169202076316606
O       0.090958969636015     -2.301816725130879     -1.361979985461386
O       0.100188938527112     -3.572746033086301      0.467253975961038
N       1.598410886261650     -1.785950258640942      1.740326244320413
S       2.813638649716877      0.129642221341570     -0.344880956334119
H       0.686062831643766      0.898342867049986      0.498003316260860
H       0.488328393905592     -0.059308359477389     -0.993737731724279
H       0.407848985965405     -3.417143488571366      1.382903015315340
H       1.572230440226857     -1.286458683961268      2.620337142141278
H       2.551774039711099     -1.831263687047419      1.399147937553166
H       2.765301676175865      1.151031361654259     -1.212993368857212
",-19641.736440035816,-0.11860630657611182
1618606818.855763,"14

C       1.027315620391671     -0.052691589011698     -0.027106256091390
C       0.664936800278042     -1.287493827590439      0.820593355994884
H       0.686852284357813     -0.997098352730158      1.878785360755653
C      -0.772757366011457     -1.725843776343768      0.474062904361347
O      -1.418524044159484     -1.280791017151294     -0.434798864336963
O      -1.297663508197138     -2.678072548057150      1.278622895295481
N       1.602236391099306     -2.385767940423129      0.654543041950588
S       2.799876826047861      0.216221418238276     -0.346916849661108
H       0.639449360523724      0.842981104141968      0.466288311816044
H       0.518075807169024     -0.120537345350147     -0.987498218652684
H      -0.612623454757124     -3.017468236726916      1.870920551401580
H       1.437083079198149     -2.909654502200050     -0.197100896216491
H       1.633643135678204     -3.014186193207802      1.445436994287490
H       2.814934678549551     -0.256692123033351     -1.600841914724438
",-19641.35112134149,0.2667123877508857
1618606839.038009,"14

C       0.977027136679634     -0.006482587630787     -0.050100789589282
C       0.656783047477552     -1.237878652410822      0.793821478593212
H       1.136552227236133     -1.103020919425938      1.775011190480684
C      -0.853261054949135     -1.295308693152368      1.088589084678023
O      -1.629086619636118     -0.417567989727773      0.810905529771241
O      -1.248608632829200     -2.475185491347712      1.583593775925243
N       1.070485769845877     -2.541581006795719      0.299691820719214
S       2.774154759984806      0.112634634267764     -0.328323880635217
H       0.611577107236004      0.879247778806721      0.471024167981885
H       0.455846703468050     -0.077952535894696     -1.009622570564287
H      -0.463582914662424     -3.058570509894224      1.554560422129242
H       2.059980104087934     -2.697314699828141      0.451440527951253
H       0.886563207271092     -2.630835181367297     -0.695745378585854
H       2.728270186089511      1.051551169743758     -1.283689297693209
",-19641.875513008457,-0.25767927921697265
1618606856.346314,"14

C       0.997251317055736     -0.017380620046453     -0.047644654765653
C       0.668312588113169     -1.261459307321911      0.802421523619000
H       0.577596704119009     -0.940988945899918      1.850164964353882
C      -0.734276248327010     -1.782226753032820      0.416996888688971
O      -1.572071001571675     -1.098319626082934     -0.113533773085554
O      -0.904300738665485     -3.085839985202164      0.651419300254976
N       1.586721445184540     -2.391224832301731      0.795363756022847
S       2.783371075475563      0.183181070612089     -0.374450486247751
H       0.614005863418227      0.871034368117790      0.457967409099936
H       0.481120169090566     -0.088615467838176     -1.005638773022488
H      -0.064300538504379     -3.395962071433793      1.052830557965145
H       2.402849357155134     -2.195023789885367      1.363133235343143
H       1.924738155236717     -2.556234598102837     -0.150347903763000
H       2.679412169451170      0.550608635211126     -1.658642094932540
",-19641.83853392947,-0.22070020022874814
1618606877.87376,"14

C       0.989879377467896     -0.025734149762092     -0.069028898062244
C       0.688247364587095     -1.240424651005003      0.812140084469354
H       1.500704023442172     -1.966572760187739      0.699587586748675
C       0.654946083573135     -0.859519518282765      2.301467578674231
O       0.844690747753863      0.245973837618505      2.732214917901559
O       0.338047126426337     -1.904874958255488      3.082263293011293
N      -0.561164610750441     -1.957315895779850      0.557782320344804
S       2.776861446482486      0.192482346896805     -0.363044968270024
H       0.607068176559606      0.880070771833516      0.404785161671505
H       0.492138103878768     -0.141230404457215     -1.035766464080994
H      -0.165310489515380     -2.512309656743147      2.501749207907009
H      -0.497611412812619     -2.532895920083849     -0.274365379012926
H      -1.330075140252441     -1.304286513231623      0.431483602953182
H       2.746341545163598      0.088486871268932     -1.697844470587786
",-19641.669496906197,-0.051663176956935786
1618606897.432079,"14

C       1.010015380570673     -0.038535490592646     -0.067029422135002
C       0.722912290988430     -1.265567755992074      0.823691250396798
H       0.637229960986948     -0.919304078784730      1.862005400547372
C      -0.671383342300813     -1.838617046206803      0.462364084014760
O      -1.482457511991544     -1.262832180291279     -0.216326233536600
O      -0.878522691326453     -3.064383217952938      0.952440379295679
N       1.650780223163705     -2.389820512488265      0.849346477029593
S       2.745385386556844      0.322655219383387     -0.477083393915057
H       0.619331802182065      0.855731265275415      0.425189411790097
H       0.447322989510426     -0.146755118320225     -0.996687028408259
H      -0.004620058461224     -3.361770989396833      1.284949857609576
H       2.420050162977240     -2.252558143259778      1.492133707943121
H       2.001259708350287     -2.647880098660812     -0.067322803366482
H       3.124769230798224     -0.928460043215472     -0.766437122009821
",-19641.76172158898,-0.14388785974006169
1618606917.208627,"14

C       1.011494151532833     -0.070200918415401     -0.054066327098322
C       0.708167689745051     -1.283987722837442      0.842220859799784
H       0.759128404568597     -0.965806335681521      1.894726903992078
C      -0.743738224373100     -1.730047681520631      0.613709913000607
O      -1.528983498243731     -1.166583452399573     -0.097849916231444
O      -1.138078148802558     -2.790797063771485      1.359237153666943
N       1.654523722889613     -2.391023671953827      0.670610286466137
S       2.757867172482177      0.247517259827499     -0.429088675076469
H       0.542510736623944      0.826794693707030      0.356113639369986
H       0.552508930401035     -0.242016038898005     -1.030890317689618
H      -0.400828741726650     -3.128657545599406      1.888891604096478
H       2.103392950524679     -2.313910176961777     -0.237612150766567
H       1.183699893936058     -3.289208069848371      0.663410275885123
H       3.147012994361061      0.576808949814721      0.812592884080668
",-19641.377692122285,0.24014160695514875
1618606937.258012,"14

C       0.959679669590303     -0.039948377423627     -0.086924075484439
C       0.706380660885872     -1.239830710335311      0.837753812273449
H       0.816626804148957     -0.897806632780227      1.875929492177465
C      -0.759449137899329     -1.694265579347363      0.698403277023336
O      -1.648688567077164     -0.955110331552423      0.360757651086143
O      -0.945505710104055     -2.995180411327130      0.938104415170373
N       1.563483169186932     -2.408870765033320      0.690938454079529
S       2.744591250443711      0.172943410718284     -0.394067742352069
H       0.539773439330037      0.853259552473609      0.378514935070590
H       0.448632001295485     -0.194337611456678     -1.040583809455319
H      -0.064998000208755     -3.348638525296133      1.189462451745331
H       2.493440736131232     -2.227203236627675      1.051534669052431
H       1.675760240978388     -2.641977953677525     -0.294052938308426
H       2.670942447434158      1.408771429700096     -0.907605154962504
",-19641.9014502248,-0.2836164955588174
1618606960.068171,"14

C       0.981621145335870     -0.062392380868298     -0.057781441374865
C       0.706240035051861     -1.246224208221502      0.879793334790657
H       0.892403109088871     -0.953279940792497      1.921188756137474
C      -0.772564345448206     -1.615888039186222      0.769195593660912
O      -1.560630666981266     -1.095292458997048      0.017471682514833
O      -1.111718950508129     -2.622643165063284      1.593267904243717
N       1.480897717864228     -2.444173831667782      0.604127877613688
S       2.756176413860370      0.218875726849467     -0.370609853206544
H       0.524114023478336      0.849296174042333      0.329701943463308
H       0.519006660569447     -0.265849796342009     -1.026160237982940
H      -1.973182474226789     -2.948004734514834      1.285017490434849
H       2.396319523089552     -2.378358731806502      1.031762695612530
H       1.608998449873826     -2.574388538044976     -0.394177629613581
H       2.885113949166986      1.330859407753346      0.365744483072066
",-19641.70046107633,-0.0826273470884189
1618606986.352152,"14

C       0.962851700200097     -0.084621099789651     -0.067226519531546
C       0.714330311788278     -1.283130212303929      0.867467405515574
H       1.086710573400597     -1.019972656406978      1.868137109060567
C      -0.802834110575347     -1.433174074271669      1.015104610904191
O      -1.556809274941694     -0.492122287759206      0.963009042661251
O      -1.239110005690683     -2.709733798015492      1.112820100795040
N       1.340609185460867     -2.528417775220246      0.482025731374352
S       2.722156937869684      0.208776590771909     -0.425120910705168
H       0.577989752834743      0.821460567085479      0.404562772055473
H       0.420213006832577     -0.211589862951971     -1.008221389911895
H      -2.063543377128427     -2.772790030496623      0.606911852383014
H       2.315376525664740     -2.529165007968456      0.754263662172822
H       1.272303986846611     -2.694014599094869     -0.516717270168257
H       2.801231153805134     -0.577603032699436     -1.508547787330348
",-19641.528305902248,0.08952782699270756
1618607011.263417,"14

C       0.981594867770697     -0.069250858615798     -0.092558632586736
C       0.773505852923196     -1.195738661436984      0.931019116128839
H       1.114491988209858     -2.136083084114841      0.471823074813029
C       1.645774764524511     -1.094541168424994      2.179827365973022
O       2.696073534452442     -0.504741040757055      2.267435398508921
O       1.185416385693222     -1.877265553486062      3.175132700879935
N      -0.621805585363644     -1.384811977863473      1.289894678360176
S       2.713363692055330      0.291051075636084     -0.544948495164431
H       0.530995420405249      0.845027817115258      0.311994652681312
H       0.425547373753829     -0.341530194262827     -0.995572213424470
H       1.948116481202853     -2.041120580189492      3.752903246878243
H      -1.134182305241950     -1.806782336200242      0.524903960046518
H      -1.066317768434681     -0.505846593448720      1.535262141550122
H       2.384486995392866      1.285054370876788     -1.386387348965142
",-19641.45685301017,0.16098071906890254
1618607037.351008,"14

C       0.933979161361926     -0.019217291869684     -0.118196485201425
C       0.786775877660508     -1.092669265905387      0.976819169742130
H       0.619955128850747     -0.568926327962284      1.928367716311995
C      -0.480116541952804     -1.930754079580631      0.738903601057767
O      -1.133093431300299     -1.920088962873503     -0.270735133231459
O      -0.712184340572097     -2.842568331164184      1.700280615684745
N       1.857905019060716     -2.037323293426296      1.221651060495740
S       2.679240830617631      0.276906592355227     -0.566317899343831
H       0.474180361587444      0.907007507407639      0.232092495931174
H       0.391133448978307     -0.342211238576241     -1.007536974580931
H      -0.013416703556025     -2.772615677964436      2.370325474348946
H       2.680421021177638     -1.574437376346860      1.592429313538146
H       2.129541761353347     -2.510532849326654      0.364469573022188
H       2.575820572638633      1.597924643290182     -0.768926288355400
",-19641.607489902566,0.010343826674215961
1618607064.499858,"14

C       0.949344336561480     -0.018551504853178     -0.098547255170552
C       0.885352491418706     -1.119270863341394      0.965065285852321
H      -0.110942411669670     -1.573632467805365      0.908297806361615
C       1.868981761882996     -2.285148482686831      0.756723434034611
O       2.326935167382638     -2.606333924567450     -0.308295599897791
O       2.052704246136630     -3.004918632579321      1.869585400783185
N       1.068733553943450     -0.650007008867318      2.349006294068289
S       2.649959746774460      0.414186062107662     -0.606818849744778
H       0.432805545121108      0.869435131119971      0.279476685487285
H       0.418289013513381     -0.373356388919912     -0.985519256627672
H       1.789923648938987     -2.418980486657128      2.612170737982167
H       0.313484552728785     -0.025622330885039      2.618901950016359
H       1.916065126709499     -0.081629230034856      2.387775392901274
H       2.274365418004718      1.212429466813827     -1.617414866242340
",-19641.694815763633,-0.07698203439213103
1618607090.536293,"14

C       0.927018490190046     -0.021209876036332     -0.064118893972466
C       0.883918397591107     -1.184833126938645      0.942936840225382
H       1.696241568649075     -1.885345530561579      0.712678447810006
C       1.164258294512221     -0.658872082430034      2.348461584862882
O       1.757941394326340      0.364182282814566      2.592714298724001
O       0.660273403268317     -1.447884443249361      3.312406578320998
N      -0.354090970299844     -1.953620962868427      0.934200239617117
S       2.639862979962796      0.383824184509940     -0.542009727419150
H       0.448191744756341      0.859019332098903      0.374528170677212
H       0.368515483908895     -0.308485527225428     -0.960445466249962
H       0.721709990308169     -0.932058945456319      4.132751232229210
H      -0.471405701728517     -2.401460936815966      0.031632588287083
H      -1.157545250508187     -1.349165143514807      1.085919592436867
H       2.311478791793923      1.217917531611367     -1.540125856008438
",-19641.585417936232,0.032415793008112814
1618607114.483496,"14

C       0.939831647284145     -0.023612952890769     -0.076903356414924
C       0.879180015314100     -1.166564796282009      0.938232023222766
H      -0.178602435468042     -1.278996984699996      1.222893240379096
C       1.248269924279107     -2.499152481091866      0.261658005290793
O       1.149801619959222     -2.684191910498293     -0.925245741032097
O       1.810379611776544     -3.386438521035882      1.086542267379025
N       1.643991436389805     -1.025872374919190      2.167198479922302
S       2.639862590338081      0.380510956022191     -0.594154111946185
H       0.518311949396003      0.884585014429366      0.363171418197827
H       0.347814009005306     -0.286818150021628     -0.953230108210413
H       1.718218299449353     -3.013842272182901      1.987804153897882
H       1.211410004802679     -0.363582914898438      2.801209034356220
H       2.579313848122941     -0.687883438926594      1.949393193881417
H       2.615165629646036     -0.285321618826700     -1.756672560059057
",-19641.96464528849,-0.3468115592513641
