time,xyz,energy,ediff
1618861528.011829,"[67.59222384055104, 265.9945503663823, 102.33641579718915, 34.67320702750394, 6.542707420682876]","14

C       1.044113421290408      0.007300318028251     -0.074569493319742
C       0.465037971535141     -0.813179507252262      1.097941393033404
H       1.233909434263715     -0.941448042191512      1.869400841776223
C      -0.701493633847049     -0.014627402723709      1.697784154582339
O      -1.849416607209263     -0.177264481466793      1.380045300439769
O      -0.364988606545364      0.927105034889458      2.606847624765367
N       0.064522203849467     -2.121972984111689      0.622003488185861
S       2.864962758554878     -0.064090481200353     -0.171319720838529
H       0.769907533678106      1.063863697224054      0.004460297846865
H       0.612090643235294     -0.361387749810848     -1.006751203305344
H       0.595197533294790      1.050775860990794      2.627694254763691
H      -0.600272852988306     -2.005535763705886     -0.138647740822164
H      -0.426958598024085     -2.623677795647638      1.355775939113853
H       2.945778523429083     -0.635748013727712     -1.379843152166159
",-19641.459304144326,0.24907922465718002
1618861532.674538,"[67.59222384055104, 265.9945503663823, 102.33641579718915, 34.67320702750394, 6.542707420682876]","14

C       1.057742245392152      0.039921026889661     -0.112232729879711
C       0.437841310443800     -0.754640066019373      1.061727571211324
H       1.235460603109640     -1.263518815194486      1.604504570768779
C      -0.213881744121596      0.184255913777352      2.089993118556310
O       0.401949850668745      1.070226808912999      2.623573050996443
O      -1.467267394088577     -0.134428591354601      2.435419077865923
N      -0.535737619176052     -1.772142565587540      0.636697191145460
S       2.880176978829579     -0.089399496087172     -0.168558898968376
H       0.800245361538990      1.097087567077386     -0.022852841794194
H       0.651414668797556     -0.317690290328841     -1.063767887200389
H      -1.653184992678313     -1.008977629957505      2.036750387906844
H      -0.057392864260072     -2.450476643577419      0.047149392910804
H      -1.189170032628039     -1.321410823227583     -0.007366722300020
H       3.130066907379723      1.203329536999974     -0.416895707062588
",-19641.559816661105,0.14856670787776238
1618861539.102501,"[67.59222384055104, 265.9945503663823, 102.33641579718915, 34.67320702750394, 6.542707420682876]","14

C       1.039086183762507      0.013569843377604     -0.046533028192348
C       0.433530984054682     -0.803498667468053      1.103648876014886
H       0.797273674267708     -1.834562748708584      1.066031428218917
C       0.893858589321121     -0.155227070151201      2.403216612836232
O       0.514421214240121      0.939216681428776      2.737439234919235
O       1.845313613605779     -0.850498749270864      3.089606322858553
N      -1.012097811272515     -0.782229030328049      0.955199072958563
S       2.855960313244301     -0.059920161207580     -0.134095540699651
H       0.715553210259041      1.055436404294191      0.036637765277387
H       0.647787544774860     -0.381510475967564     -0.987269860734051
H       2.613511938833336     -0.273785587561966      3.213755502915378
H      -1.332231705264238      0.176256798309835      0.845823737360988
H      -1.474952067337243     -1.172928436078619      1.769748975586893
H       3.097307768656318      1.116194978942265      0.463369818355773
",-19641.45727511615,0.25110825283263694
1618861544.665946,"[67.59222384055104, 265.9945503663823, 102.33641579718915, 34.67320702750394, 6.542707420682876]","14

C       1.085957303983037      0.064582021029881     -0.098871240255801
C       0.493740217153948     -0.801427721121098      1.059021527468212
H       0.272284026607517     -0.131154120101413      1.904369330446834
C      -0.835604741673536     -1.376459099333231      0.548170359750856
O      -0.996494527784262     -2.533333614972972      0.274900895350514
O      -1.853355283658819     -0.493875827220354      0.428609462887806
N       1.280368567815748     -1.905172903169434      1.542404453809833
S       2.904158949963868      0.058277387015840     -0.241754916555865
H       0.736200480759282      1.095391399962758     -0.008595680299470
H       0.724847427909720     -0.310869746880514     -1.061509024918123
H      -1.520707964934540      0.413806050435115      0.467831863350367
H       2.213117756912294     -1.601817212768954      1.801552522289078
H       1.352062902555054     -2.620898715395478      0.826802001973646
H       3.131746065737811      1.259969769636275      0.306145518795454
",-19641.457449473088,0.2509338958952867
1618861550.941018,"[67.59222384055104, 265.9945503663823, 102.33641579718915, 34.67320702750394, 6.542707420682876]","14

C       1.048665723317265      0.057090782123460     -0.086605528754508
C       0.492793517897431     -0.785009185018758      1.094145511524698
H       1.341351735401116     -1.186025854539790      1.663954780701874
C      -0.270301380272015      0.158564687251925      2.032292345963702
O      -1.464271959714169      0.156332466778542      2.171048179432235
O       0.506833504167818      1.031895064931328      2.703985764650866
N      -0.364356043829455     -1.878011542246616      0.662355247552631
S       2.870485413808817      0.013704581723731     -0.201720275237747
H       0.724277120942216      1.098828131237475     -0.030137685603171
H       0.656109498039885     -0.341524202182886     -1.028044894559333
H       1.421281438864483      0.979596847840439      2.384515153696758
H      -0.628237468931339     -1.766120848371910     -0.309796664698754
H      -1.225758324790972     -1.844585006113252      1.202924862183534
H       3.084498282992223      1.335834885093953     -0.162769587507339
",-19641.373617035726,0.3347663332569937
1618861556.399446,"[67.59222384055104, 265.9945503663823, 102.33641579718915, 34.67320702750394, 6.542707420682876]","14

C       1.029160911049019      0.048173254781110     -0.079970871698438
C       0.528109567293368     -0.788768799509586      1.092770725883051
H       0.782087866665533     -1.840951291481415      0.908725151551733
C       1.214652974249603     -0.327424452739236      2.387144892854483
O       1.535975426040322      0.813681837719022      2.578034721977208
O       1.429760907051843     -1.262797945878345      3.338676668225777
N      -0.924941682162691     -0.673811483571906      1.167462540100575
S       2.853147987313770      0.006406048006936     -0.189145195758096
H       0.710708662192047      1.084657230523569      0.063671134705853
H       0.583601588806047     -0.336024383402670     -0.999890028740168
H       1.112361165538872     -2.130245927808033      3.052740624132046
H      -1.207476342658309      0.298987000490526      1.097950208635531
H      -1.281635370862203     -1.044584106277134      2.041934586205133
H       2.914971884398851      0.281572012527867     -1.501277566684694
",-19641.44140802664,0.2669753423433576
1618861562.530211,"[67.59222384055104, 265.9945503663823, 102.33641579718915, 34.67320702750394, 6.542707420682876]","14

C       1.040906517801329      0.040505299353580     -0.138826093220624
C       0.567197834958308     -0.697708014553385      1.118813489729942
H       0.840610868726301     -1.753119987332280      0.971533473061248
C       1.158385553091994     -0.384585868342408      2.504746689968105
O       0.674281745386800     -0.908709405037983      3.475172357879688
O       2.227913361495285      0.417867933412271      2.640530860309216
N      -0.891837633204537     -0.662786548059163      1.138247926651524
S       2.824259399027191      0.086775982790202     -0.512892755946408
H       0.652979862081607      1.063149027555263     -0.122648420328422
H       0.571527833936554     -0.462519589016626     -0.986102306319425
H       2.374042258235961      0.935919484130686      1.839438704136127
H      -1.201949334514357      0.200438018060807      1.581430797307856
H      -1.207826780035496     -1.392394634382318      1.773508812418825
H       3.121318710120786      1.264665345845280      0.054393229414827
",-19641.39995669221,0.3084266767727968
1618861568.208485,"[67.59222384055104, 265.9945503663823, 102.33641579718915, 34.67320702750394, 6.542707420682876]","14

C       1.089658147626768      0.014388750070540     -0.133148790795789
C       0.523174779945009     -0.788262219794023      1.062324467888793
H       0.924303152761736     -1.811462707248563      0.989492060099073
C       0.970635408150224     -0.251879867703106      2.435367037456942
O       0.181192017553482      0.087227862885637      3.275956793357290
O       2.290302188784565     -0.142460433147482      2.656937395470031
N      -0.916268513631830     -0.876683639246151      1.063475896967849
S       2.902015121043245      0.057267081603363     -0.319305139144464
H       0.769448116133270      1.057033853582016     -0.049813836071953
H       0.658473335313399     -0.380009639362512     -1.057902937215875
H       2.801501804035927     -0.523126469010688      1.921233123133447
H      -1.266213581294978     -1.213665639699924      0.174307513831366
H      -1.339726294956691      0.016655120102753      1.285657482794497
H       3.025424810606728     -1.057548336999486     -1.054134025538042
",-19641.591643492597,0.11673987638641847
1618861574.370557,"[67.59222384055104, 265.9945503663823, 102.33641579718915, 34.67320702750394, 6.542707420682876]","14

C       1.079740897478985      0.047634306257225     -0.097759903376336
C       0.508520068496689     -0.796298317870357      1.066514079616404
H       1.228584647728566     -1.591745252354476      1.303902858044262
C       0.352244321722289      0.037052403306672      2.333458209758734
O      -0.584696581827388      0.000124797696447      3.089540485483118
O       1.418100855021648      0.836326115796046      2.537291695865089
N      -0.763924871685953     -1.437211214862548      0.796082116541236
S       2.897725804019117      0.113391506246004     -0.241230177363398
H       0.709928666787535      1.074411314549472     -0.032165702655072
H       0.709075967137100     -0.369782465560260     -1.040376737142408
H       1.217013218585937      1.364517806368860      3.327382607645778
H      -0.742723479195765     -1.893799638382188     -0.109636219719844
H      -1.516099406540406     -0.756201871856351      0.784856870535986
H       3.191166084749484     -0.576332137438300      0.868935964733695
",-19641.604702624456,0.10368074452708242
1618861580.126855,"[67.59222384055104, 265.9945503663823, 102.33641579718915, 34.67320702750394, 6.542707420682876]","14

C       1.045674120173827      0.052915400103387     -0.095704774545942
C       0.531028703687028     -0.817907467879113      1.071776047660810
H       0.908118471689495     -0.363667122522616      1.998631288898828
C      -0.987318540226804     -0.722208554217164      1.126702641651725
O      -1.743694977554284     -1.648210292523477      0.983297394497224
O      -1.412301654338292      0.556140146515462      1.266699888053658
N       0.909267876830967     -2.210389494298809      1.064552793321113
S       2.860305600069638      0.089010291186243     -0.223148395668822
H       0.726582741200420      1.083688329049845      0.069618644901983
H       0.619263781169214     -0.272751381770449     -1.050185931521166
H      -2.290718672246259      0.609023001035594      0.856868746064089
H       1.918915282040147     -2.301459903739613      1.026048660677235
H       0.500428809229497     -2.697720256298326      0.274029471255255
H       2.990179631286858     -0.953391526401523     -1.056111693673299
",-19641.737040959026,-0.0286575900427124
